code_insee,nom_commune,code_departement,population
81025,Belcastel,81,226
81071,Courris,81,80
81118,Laboulbène,81,167
81126,Lacougotte-Cadoul,81,178
81166,Milhavet,81,99
81185,Montvalen,81,243
81212,Prades,81,118
81270,Saint-Sernin-lès-Lavaur,81,166
81282,Senaux,81,37
81310,Veilhes,81,145
82015,Belbèze-en-Lomagne,82,168
82046,Coutures,82,108
82078,Labastide-de-Penne,82,126
82118,Montaïn,82,92
82128,Montfermier,82,109
83020,Le Bourguet,83,47
83147,Vérignon,83,8
84023,Buoux,84,103
84128,Sivergues,84,44
85165,L'Oie,85,1264
85212,Sainte-Florence,85,1338
88001,Les Ableuvenettes,88,67
88003,Aingeville,88,61
88008,Anglemont,88,152
88045,Beaufremont,88,88
88056,Bettoncourt,88,91
88058,Biécourt,88,91
88060,Blémerey,88,30
88062,Blevaincourt,88,91
88066,Boulaincourt,88,63
88093,Châtas,88,36
88102,Chermisey,88,86
88104,Circourt-sur-Mouzon,88,184
88119,Crainvilliers,88,180
88125,Darney-aux-Chênes,88,62
88127,Deinvillers,88,55
88149,Dommartin-lès-Vallois,88,52
88171,Fignévelle,88,50
88180,Frain,88,125
88192,Gelvécourt-et-Adompt,88,107
88199,Gignéville,88,76
88200,Gigney,88,58
88202,Gircourt-lès-Viéville,88,195
88214,Grandrupt-de-Bains,88,70
88220,Grignoncourt,88,47
88230,Hardancourt,88,35
88252,Jésonville,88,151
88265,Lemmecourt,88,24
88272,Lironcourt,88,71
88280,Madegney,88,126
88287,Marey,88,71
88307,Mont-lès-Lamarche,88,94
88336,Ollainville,88,74
88350,Pleuvezain,88,72
88374,Rapey,88,24
88381,Relanges,88,190
88407,Ruppes,88,144
88427,Saint-Menge,88,117
88456,Serocourt,88,83
88459,Soncourt,88,43
88482,Urville,88,55
88485,La Vacheresse-et-la-Rouillie,88,128
88493,Varmonzey,88,24
88505,Vienville,88,120
88509,Villoncourt,88,100
88511,Villouxel,88,86
88514,Viocourt,88,165
88522,Vomécourt-sur-Madon,88,68
88525,Vroville,88,133
88532,Zincourt,88,76
89011,Annéot,89,115
89012,Annoux,89,84
89207,Jouancy,89,28
89299,Pimelles,89,62
89417,Tissey,89,113
89422,Trichey,89,43
